@relation mmcfeatures

@attribute mood {0,1}
@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute track_duration numeric
@attribute track_end_of_fade_in numeric
@attribute track_start_of_fade_out numeric
@attribute track_loudness numeric
@attribute track_tempo numeric
@attribute track_tempo_confidence numeric
@attribute track_time_signature numeric
@attribute track_time_signature_confidence numeric
@attribute track_key numeric
@attribute track_key_confidence numeric
@attribute track_mode numeric
@attribute track_mode_confidence numeric

@data
1,0.809,0.892,0,-11.443,1,0.0437,0.0629,0.344,0.0334,0.89,124.435,277640,4,277.64,0.06458,261.99075,-11.443,124.435,0.788,4,1,0,0.452,1,0.529
0,0.225,0.392,2,-9.642,1,0.0313,0.153,0.001,0.16,0.294,130.748,295240,4,295.24,0.44077,284.88562,-9.642,130.748,0.25,4,0.807,2,0.679,1,0.683
1,0.63,0.95,1,-4.012,1,0.0806,0.000915,0.00000651,0.373,0.858,143.866,280627,4,280.62667,0.22213,267.09333,-4.012,143.866,0.916,4,1,1,0.85,1,0.551
0,0.521,0.702,0,-5.189,1,0.0331,0.189,0,0.0962,0.25,127.976,242840,4,242.84,0,236.37333,-5.189,127.976,0.563,4,0.654,0,0.652,1,0.679
0,0.119,0.348,4,-11.774,0,0.0392,0.303,0.925,0.1,0.0977,81.841,246800,1,246.8,0.21569,238.5502,-11.774,81.841,0.229,1,0.241,4,0.842,0,0.764
0,0.518,0.0861,9,-11.949,1,0.0328,0.926,0.0362,0.112,0.0647,96.132,167600,4,167.6,0.39927,152.46222,-11.949,96.132,0.211,4,0.958,9,0.674,1,0.832
0,0.53,0.804,4,-5.809,1,0.0377,0.0101,0.0000187,0.323,0.855,142.604,233840,4,233.84,0.17451,218.23274,-5.809,142.604,0.752,4,1,4,0.21,1,0.451
0,0.469,0.592,5,-4.962,1,0.0399,0.0393,0,0.105,0.0938,161.996,210613,4,210.61333,0.16259,203.39519,-4.962,161.996,0.214,4,1,5,0.38,1,0.337
0,0.634,0.323,1,-13.533,1,0.0318,0.83,0.00009,0.125,0.489,147.943,289693,4,289.69306,2.16526,274.18122,-13.533,147.943,0.114,4,0.982,1,0.591,1,0.626
1,0.451,0.899,9,-4.102,0,0.162,0.0628,0,0.182,0.932,89.892,175760,4,175.76,0.16794,168.94259,-4.102,89.892,0.101,4,0.986,9,0.357,0,0.355
0,0.356,0.803,6,-6.674,1,0.104,0.0153,0.00000637,0.112,0.136,150.133,319720,4,319.72,0.3342,285.9015,-6.674,150.133,0.1,4,1,6,0.757,1,0.667
0,0.377,0.397,7,-8.427,1,0.0312,0.817,0.0496,0.187,0.462,108.591,187400,3,187.4,0.0737,179.01424,-8.427,108.591,0.661,3,0.115,7,0.921,1,0.858
1,0.575,0.803,11,-3.134,0,0.0345,0.293,0,0.183,0.824,98.516,254253,4,254.25333,0,249.12689,-3.134,98.516,0.265,4,1,11,0.562,0,0.604
1,0.675,0.902,7,-4.186,0,0.0372,0.12,0.0000632,0.376,0.599,129.959,213307,4,213.30707,0.16268,204.30077,-4.186,129.959,0.888,4,1,7,0.573,0,0.75
0,0.381,0.268,2,-8.671,0,0.0306,0.888,0,0.0937,0.148,131.724,238280,3,238.28,0.23175,232.55365,-8.671,131.724,0.525,3,1,2,0.169,0,0.501
0,0.57,0.89,3,-3.808,1,0.0322,0.0127,0.000151,0.124,0.57,121.015,205280,4,205.28,0.11043,205.28,-3.808,121.015,0.86,4,0.667,3,0.477,1,0.512
1,0.751,0.92,8,-2.904,0,0.0826,0.0498,0.0000177,0.0875,0.668,126.99,200753,4,200.75315,0.13143,195.65134,-2.904,126.99,0.928,4,1,8,0.307,0,0.305
0,0.599,0.531,4,-9.762,1,0.0284,0.189,0.0000232,0.111,0.53,124.513,228933,4,228.93252,0,218.62748,-9.762,124.513,0.629,4,0.917,4,0.785,1,0.717
1,0.547,0.626,7,-6.852,0,0.0399,0.00494,0.000285,0.197,0.366,101.95,222120,4,222.12,0.27283,207.88825,-6.852,101.95,0.799,4,1,7,0.675,0,0.719
0,0.408,0.653,9,-6.19,0,0.0306,0.0563,0.013,0.285,0.499,155.194,240560,3,240.56,0.49986,226.23782,-6.19,155.194,0.519,3,1,9,0.468,0,0.541
0,0.54,0.857,9,-6.684,0,0.0484,0.00701,0.0115,0.586,0.519,132.34,273133,4,273.13333,0,255.47175,-6.684,132.34,0.799,4,0.997,9,0.699,0,0.559
